City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
69,Thap Than,TH,77.0,overcast clouds,15.46,99.89,ลูกหมีโลงศพ
70,Bredasdorp,ZA,68.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
71,Kruisfontein,ZA,68.0,clear sky,-34.0,24.73,Oyster Bay House Rental
72,Airai,TL,61.99,overcast clouds,-8.93,125.41,Juvinal Martin
73,Marsa Matruh,EG,62.11,few clouds,31.35,27.25,Beau Site
74,Tuatapere,NZ,55.99,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
76,Ribeira Grande,PT,60.8,scattered clouds,38.52,-28.7,Quinta da Meia Eira
79,Itarema,BR,84.9,broken clouds,-2.92,-39.92,Windvillage
80,Castro,BR,77.31,few clouds,-24.79,-50.01,CHACARA BAILLY
81,Gidole,ET,62.02,broken clouds,5.65,37.37,Shallom mekaneyesus church
85,Qasigiannguit,GL,28.4,scattered clouds,68.82,-51.19,Hotel Discobay
86,Gizo,SB,83.07,light rain,-8.1,156.84,Imagination Island
87,Alice Springs,AU,66.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
88,Tura,IN,58.08,clear sky,25.52,90.22,Hotel RIKMAN Continental
89,Teknaf,BD,64.15,broken clouds,20.86,92.31,Magnum Engineering & Construction
90,Hobart,AU,55.0,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
91,Karratha,AU,85.96,clear sky,-20.74,116.85,ibis Styles Karratha
92,Upernavik,GL,22.93,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
93,Bethel,US,37.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
94,Asyut,EG,57.25,clear sky,27.18,31.18,Florence Hotel Assiut
96,Suicheng,CN,12.72,clear sky,33.9,117.93,Junyue Hotel
97,Mehamn,NO,28.4,clear sky,71.04,27.85,Mehamn Arctic Hotel AS
98,Tasiilaq,GL,14.0,few clouds,65.61,-37.64,The Red House
99,Kudahuvadhoo,MV,82.72,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
100,Inhambane,MZ,81.55,overcast clouds,-23.86,35.38,Oceano
102,Riyadh,SA,55.4,clear sky,24.69,46.72,InterContinental Riyadh
104,Geraldton,AU,68.0,haze,-28.77,114.6,Broadwater Mariner Resort
107,Santo Tomas,PH,80.6,light rain,14.11,121.14,Microtel by Wyndham Batangas
109,Buin,CL,90.0,clear sky,-33.73,-70.75,Paihuen
112,Mar Del Plata,AR,73.4,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata
113,Diffa,NE,74.59,clear sky,13.32,12.61,ProDAF/Diffa
114,Krasnoslobodsk,RU,23.0,fog,48.71,44.57,Mini-hotel Na Allee
115,Constitucion,CL,69.28,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
116,Faanui,PF,81.27,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Wad Rawah,SD,75.83,clear sky,15.16,33.14,ود الترابي
118,Bambous Virieux,MU,78.01,shower rain,-20.34,57.76,Casa Tia Villa
120,Sayyan,YE,48.76,clear sky,15.17,44.32,متنزه و بحيرة سيان
121,Prince Rupert,CA,41.0,moderate rain,54.32,-130.32,Crest Hotel
122,Ushuaia,AR,51.8,broken clouds,-54.8,-68.3,Albatros Hotel
123,Tabursuq,TN,50.0,scattered clouds,36.46,9.25,Dar Ammar Téboursouk
125,Zapadnaya Dvina,RU,34.16,overcast clouds,56.26,32.07,Besedka
126,Hami,CN,13.78,clear sky,42.8,93.45,Laoyutang Resort
128,Petauke,ZM,69.6,overcast clouds,-14.24,31.33,Newline Lodge
129,Porto Novo,BJ,84.2,haze,6.5,2.6,Tour Eiffel Hotel Benin
130,Fiditi,NG,84.02,clear sky,7.71,3.92,"FBC Guest House, Fiditi"
131,Atuona,PF,78.58,clear sky,-9.8,-139.03,Villa Enata
132,Grindavik,IS,28.4,clear sky,63.84,-22.43,Northern Light Inn & Max's Restaurant
133,Lorica,CO,84.2,broken clouds,9.24,-75.81,Hostal Raíces del Sabor
135,Chum Phae,TH,61.86,clear sky,16.54,102.1,Major Grand
136,Vila Do Maio,CV,77.0,scattered clouds,15.13,-23.22,Residence 'I Delfini'
137,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
139,Kahului,US,73.4,few clouds,20.89,-156.47,Maui Seaside Hotel
140,Catuday,PH,78.28,overcast clouds,16.29,119.81,GResort
141,Babra,IN,57.4,clear sky,21.85,71.3,Old Circuit House
142,Lebu,CL,59.67,clear sky,-37.62,-73.65,Hostal Las Lilas
144,Ilulissat,GL,28.4,scattered clouds,69.22,-51.1,Hotel Arctic
145,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
146,Zhuanghe,CN,10.18,clear sky,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
147,Kavieng,PG,82.11,moderate rain,-2.57,150.8,Nusa Island Retreat
150,Eureka,US,52.0,overcast clouds,40.8,-124.16,Eureka Inn Trademark By Wyndham
151,Harper,LR,80.28,light rain,4.38,-7.72,Screensaver
152,Dhidhdhoo,MV,82.38,overcast clouds,6.88,73.1,Dhidhoo beach
154,Longyearbyen,SJ,28.4,broken clouds,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
155,Santa Fe,AR,81.05,overcast clouds,-31.63,-60.7,Conquistador Hotel
156,Codrington,AU,53.85,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
157,Prieska,ZA,83.44,scattered clouds,-29.66,22.75,Avenue GuestHouse
159,Vagur,FO,40.64,light rain,61.47,-6.81,The Scouts House Camping
161,Zambezi,ZM,67.93,light rain,-13.54,23.1,Royal Kutachika Lodge
164,Arnedo,ES,44.6,overcast clouds,42.22,-2.1,Hotel Virrey
165,Severo-Kurilsk,RU,21.83,scattered clouds,50.68,156.12,Kak Doma
166,Kokopo,PG,76.62,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
168,Wajima,JP,30.43,light snow,37.4,136.9,Wajiima Onsen Yashio
169,Meulaboh,ID,76.33,overcast clouds,4.14,96.13,Kost Pria
170,Hyeres,FR,46.4,clear sky,43.12,6.12,ibis budget Hyères Centre-Ville
171,Woodstock,CA,39.0,light rain,43.13,-80.75,Holiday Inn Express & Suites Woodstock South
174,Vallenar,CL,89.83,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
175,Svetlograd,RU,26.6,few clouds,45.34,42.85,Ydacha Hotel
176,Maragogi,BR,80.47,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
177,Pangnirtung,CA,12.2,shower rain,66.15,-65.71,Kilabuk Lodge
178,Bloomingdale,US,78.01,overcast clouds,27.89,-82.24,Travel Club for Free
179,Kaeo,NZ,55.0,overcast clouds,-35.1,173.78,Bushido Lodge
180,Cidreira,BR,82.85,few clouds,-30.18,-50.21,Hotel Castelo
182,Bengkulu,ID,75.49,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
183,Vila Franca Do Campo,PT,57.2,scattered clouds,37.72,-25.43,Pestana Bahia Praia
184,Charters Towers,AU,71.78,light rain,-20.1,146.27,Cattleman's Rest Motor Inn
185,Eyrarbakki,IS,23.0,clear sky,63.86,-21.15,Guesthouse 77
186,Chuy,UY,72.72,moderate rain,-33.7,-53.46,Nuevo Hotel Plaza
187,Cayenne,GF,82.4,moderate rain,4.93,-52.33,Hôtel Le Dronmi
188,Jonesboro,US,55.4,moderate rain,35.84,-90.7,Hilton Garden Inn Jonesboro
189,Eydhafushi,MV,82.13,moderate rain,5.1,73.07,Soneva Fushi
191,Huarmey,PE,74.48,scattered clouds,-10.07,-78.15,Hotel Miramar
192,Vila Velha,BR,84.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
193,San Cristobal,VE,80.6,shower rain,7.77,-72.22,Pirineos
195,Porto Walter,BR,84.02,moderate rain,-8.27,-72.74,Hotel Silva
196,Kawalu,ID,71.38,moderate rain,-7.38,108.21,KOSAN UNGU UNSIK
197,Rupert,US,21.2,overcast clouds,42.62,-113.68,Uptown Motel
199,Kaitangata,NZ,60.01,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
200,Hofn,IS,26.6,clear sky,64.25,-15.21,Hótel Höfn
201,Te Anau,NZ,53.64,broken clouds,-45.42,167.72,Kingsgate Hotel Te Anau
202,Naantali,FI,39.2,scattered clouds,60.47,22.02,Naantali Spa Hotel & Resort
205,Xichang,CN,36.07,overcast clouds,27.9,102.26,Xichang ibis Hotel
206,Benguela,AO,77.16,overcast clouds,-12.58,13.41,Hotel Praia Morena
208,Fairbanks,US,12.0,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
210,Ilhabela,BR,81.63,clear sky,-23.78,-45.36,Ilha Flat Hotel
211,Lasa,IT,32.0,broken clouds,46.62,10.7,Pension Feldgärtenhof
213,Dawlatabad,AF,24.24,clear sky,36.41,64.91,WASIM ASGAR KHAN
214,Yei,SS,80.11,broken clouds,4.09,30.68,City Link Hotel
215,Talcahuano,CL,69.8,clear sky,-36.72,-73.12,Hotel Terramar
216,Marrakesh,MA,57.2,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
217,Rabat,MA,51.8,clear sky,33.99,-6.84,Hôtel Mercure Rabat Sheherazade
218,Lompoc,US,59.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
219,California City,US,48.99,clear sky,35.13,-117.99,Best Western California City Inn & Suites
220,Petrolina De Goias,BR,89.6,light rain,-16.09,-49.34,Hotel Santa Rita
221,Bondoukou,CI,81.72,clear sky,8.03,-2.8,Prestige Hotel
222,Salinopolis,BR,84.31,broken clouds,-0.61,-47.36,Salinas Park Resort Maçarico AP101
223,Gazanjyk,TM,30.58,clear sky,39.24,55.52,Railway motel
224,Kavaratti,IN,82.04,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
225,Mahur,IN,52.11,clear sky,25.17,93.12,ChaamGoun Inn
226,Pacific Grove,US,53.01,clear sky,36.62,-121.92,Lovers Point Inn
228,Casablanca,MA,55.4,clear sky,33.59,-7.62,Hotel Moroccan House Casablanca
232,Belen,TR,42.8,clear sky,36.49,36.22,Varlıbaş Uyku Sarayı
233,Saint George,US,42.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
234,Kenai,US,28.0,clear sky,60.55,-151.26,Aspen Extended Stay Suites
235,Acari,PE,81.7,few clouds,-15.43,-74.62,Hospedaje Ximens
236,Cape Town,ZA,70.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
237,Serenje,ZM,65.84,moderate rain,-13.23,30.24,SERENJE SOCH INN
239,Sistranda,NO,35.6,clear sky,63.73,8.83,Hotell Frøya
240,Narsaq,GL,24.8,overcast clouds,60.92,-46.05,Hotel Narsaq
241,Shenjiamen,CN,28.87,clear sky,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
242,Husavik,IS,17.6,broken clouds,66.04,-17.34,Bjarnabúð
244,Namibe,AO,71.13,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
245,Dingle,PH,76.91,light rain,11.0,122.67,SEGAYA PROPERTY
246,Nikolskoye,RU,35.6,overcast clouds,59.7,30.79,Tourist House - Sablino
248,Lolodorf,CM,72.63,few clouds,3.23,10.73,Auberge La Decouverte
249,Kautokeino,NO,19.36,overcast clouds,69.01,23.04,Thon Hotel Kautokeino
250,Totness,SR,82.27,broken clouds,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
252,Bushehr,IR,62.6,clear sky,28.97,50.84,Yas Hotel
253,Damietta,EG,62.73,clear sky,31.42,31.81,العواد لتجارة الابلكاش
257,Ancud,CL,63.0,broken clouds,-41.87,-73.82,Hotel Arena Gruesa
258,Lahan,NP,58.96,clear sky,26.73,86.5,Hotel Durbar Pvt. Ltd.
259,Mackay,AU,73.4,broken clouds,-21.15,149.2,International Lodge Motel
260,Lorengau,PG,81.5,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
261,Shimoda,JP,30.99,clear sky,34.67,138.95,Shimoda Tokyu Hotel
263,San Pedro,PH,80.6,light rain,14.35,121.02,OYO 412 Viewfort Venue
264,Wasilla,US,33.8,light snow,61.58,-149.44,Alaska's Select Inn Wasilla
265,Negombo,LK,78.8,thunderstorm,7.21,79.84,Hotel Sunset Beach
266,Wittenheim,FR,37.99,overcast clouds,47.81,7.34,A L'ancienne Poste
268,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
269,Half Moon Bay,US,53.6,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
270,Port Blair,IN,79.23,scattered clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
271,Iracoubo,GF,82.08,overcast clouds,5.48,-53.2,Le Gite D Iracoubo
272,Roma,US,34.0,scattered clouds,43.21,-75.46,Wingate By Wyndham Rome
274,Waitati,NZ,57.0,overcast clouds,-45.75,170.57,Arden Country House BnB Dunedin
275,Iquitos,PE,89.6,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
277,Coihaique,CL,55.4,overcast clouds,-45.58,-72.07,Diego De Almagro Coyhaique
278,Muros,ES,50.0,light rain,42.78,-9.06,Apartment Av. Castelao
279,Mocuba,MZ,78.8,overcast clouds,-16.84,36.99,Phama Lodge
280,Murray,US,33.01,clear sky,40.67,-111.89,Baymont by Wyndham Murray/Salt Lake City
281,Rawson,AR,64.11,broken clouds,-43.3,-65.1,Hotel Punta León
282,Chapais,CA,12.2,overcast clouds,49.78,-74.85,Hôtel Opémiska
283,Conceicao Da Barra,BR,81.88,clear sky,-18.59,-39.73,Cricaré Praia Hotel
284,Bileca,BA,55.4,light rain,42.87,18.43,Hotel Dijamant
285,Kodiak,US,37.4,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
286,Wakkanai,JP,18.05,light snow,45.41,141.67,Hyōsetsu-sō
287,Omboue,GA,78.1,overcast clouds,-1.57,9.26,Hotel Olako
288,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
289,Saint-Francois,FR,37.4,overcast clouds,46.42,3.91,Manoir Du Bonheur
290,Valley City,US,17.6,light snow,46.92,-98.0,AmericInn by Wyndham Valley City Conference Center
291,Gilgit,PK,22.59,clear sky,35.92,74.31,Tourist Hamlet Gilgit
292,Moerai,PF,80.01,overcast clouds,-22.43,-151.33,Le Manotel
293,Zaltan,LY,58.01,clear sky,32.95,11.87,زلطن الشرقية
295,Hasaki,JP,34.0,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
296,Fortuna,US,52.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
297,Nome,US,21.2,clear sky,64.5,-165.41,Dredge 7 Inn
298,Fiumicino,IT,51.8,few clouds,41.77,12.23,Al Porticciolo Hotel
299,Sorong,ID,80.76,overcast clouds,-0.88,131.25,The Waigo Hotel
300,Vitoria Da Conquista,BR,76.82,scattered clouds,-14.87,-40.84,Hotel Solar Vitória
301,La Asuncion,VE,80.38,scattered clouds,11.03,-63.86,Colinas de Matasiete
302,Prado,BR,80.67,clear sky,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
304,Samana,DO,84.2,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
305,Honiara,SB,75.2,scattered clouds,-9.43,159.95,Heritage Park Hotel
306,Redlands,US,63.0,clear sky,34.06,-117.18,Dynasty Suites Redlands
308,Guerrero Negro,MX,64.22,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
310,Nueva Loja,EC,82.4,shower rain,0.08,-76.88,Limoncocha Great Hotel
311,Kazerun,IR,53.51,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
312,Rocha,UY,74.77,moderate rain,-34.48,-54.33,Beleza Pura B&B
313,Banfora,BF,80.87,clear sky,10.63,-4.77,Residences David Hebié
315,Kristiansund,NO,37.4,clear sky,63.11,7.73,Thon Hotels Storgata
316,Hamilton,US,57.2,moderate rain,39.18,-84.53,Six Acres Bed & Breakfast
318,Coquimbo,CL,68.0,clear sky,-29.95,-71.34,Hotel San Juan
319,Grand Gaube,MU,78.01,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
320,Asau,RO,37.0,clear sky,46.43,26.4,Casa Mika Ciobanus
321,Ambon,ID,80.01,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
322,Talara,PE,82.4,clear sky,-4.58,-81.27,Hostal Oro Negro
323,Sambava,MG,76.48,clear sky,-14.27,50.17,Melrose
324,Izvor,MK,57.2,broken clouds,42.2,21.58,Liqeni Likoves
326,Allapalli,IN,62.64,broken clouds,19.42,80.07,Hotel IK Residency
328,Green River,US,21.2,scattered clouds,41.53,-109.47,Hampton Inn & Suites Green River
329,Margate,GB,37.0,overcast clouds,51.38,1.39,Premier Inn Margate hotel
330,Aloleng,PH,79.25,overcast clouds,16.13,119.78,Agno Umbrella Rocks
332,Yulara,AU,71.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
333,Gua Musang,MY,70.81,overcast clouds,4.88,101.96,Mines Inn Hotel
334,Antofagasta,CL,75.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
336,Bama,NG,73.96,clear sky,11.52,13.69,UN Humanitarian Hub
339,Jiangyan,CN,21.0,clear sky,32.51,120.14,Super 8 Taizhou Jiangyan East Luotang Road
340,Brae,GB,39.2,light rain,60.4,-1.35,Busta House Hotel
341,Jasper,US,33.8,snow,37.2,-94.35,Guest House Motel
343,Laguna,US,48.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
344,Borisoglebskiy,RU,24.8,overcast clouds,57.26,39.15,Парк отель Eleon
345,Komsomolskiy,UZ,28.4,mist,40.43,71.72,Ikathouse
346,Plouzane,FR,48.2,light rain,48.38,-4.62,Résidence Nemea Iroise Armorique
347,Muhos,FI,27.0,overcast clouds,64.81,25.99,Montta - active camping / campsite Montan
350,Fatehpur,IN,51.12,clear sky,25.93,80.8,City Club
351,Hole Narsipur,IN,66.99,broken clouds,12.78,76.24,"Inspection Bungalow, Holenarsipur"
352,Liepaja,LV,30.2,overcast clouds,56.54,21.04,Promenade Hotel
353,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
354,Novosokolniki,RU,34.0,light snow,56.35,30.16,"Gostinitsa ""Novosokol'nicheskogo Mpzhkkh"""
355,Mount Gambier,AU,57.2,overcast clouds,-37.83,140.77,Commodore on the Park
356,Korla,CN,16.23,clear sky,41.76,86.15,Gulisitan Hotel
357,Sao Jose Da Coroa Grande,BR,80.83,few clouds,-8.9,-35.15,Crôa Mares Hotel
358,Kawambwa,ZM,65.68,moderate rain,-9.79,29.08,"Uphill Country Lodge, Kawambwa"
359,Golden,US,37.99,clear sky,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
361,Montreal,CA,26.01,snow,45.51,-73.59,Delta Hotels by Marriott Montreal
362,Cocorit,MX,62.6,clear sky,27.58,-109.97,Kaba Motel
363,Muli,MV,82.9,light rain,2.92,73.57,Medhufushi Island Resort
364,Alta Floresta,BR,83.59,moderate rain,-9.88,-56.09,Floresta Amazonica Hotel
365,Aasiaat,GL,19.38,overcast clouds,68.71,-52.87,Hotel Aasiaat Sømandshjem
367,Houyet,BE,39.0,overcast clouds,50.19,5.01,Le Saint Hadelin
368,Mackenzie,CA,21.2,overcast clouds,55.3,-123.17,Hilton Shop
369,Berlin,DE,39.0,few clouds,52.52,13.41,Hotel Motel One Berlin-Hackescher Markt
370,Moorhead,US,18.0,haze,46.87,-96.77,"Courtyard by Marriott Fargo Moorhead, MN"
371,Maniago,IT,43.0,light rain,46.17,12.71,Hotel Al Giardino
373,Desnogorsk,RU,35.06,overcast clouds,54.15,33.28,Отель Гранд
374,Basco,PH,64.89,overcast clouds,20.45,121.97,Nathaniel's Lodge
375,Poum,NC,80.42,light rain,-20.23,164.02,Gîte kajeon
377,Jand,PK,47.44,clear sky,33.43,72.02,Mohalla Takia
378,Marystown,CA,29.75,overcast clouds,47.17,-55.15,Marystown Hotel & Convention Centre
379,Maceio,BR,84.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
380,The Valley,AI,82.4,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
381,Northam,GB,37.99,overcast clouds,51.03,-4.22,Durrant House Hotel
382,Bhadravati,IN,70.05,clear sky,13.87,75.72,OYO 39948 Padma Residency
383,Songling,CN,21.99,clear sky,31.19,120.72,苏州同里湖大饭店
385,Pimenta Bueno,BR,84.52,light rain,-11.67,-61.19,Cristalina Palace Hotel
387,Maniitsoq,GL,29.08,light snow,65.42,-52.9,Hotel Heilmann Lyberth
389,Imamoglu,TR,64.0,clear sky,37.27,35.66,İSAK TATAR
391,Ouesso,CG,79.66,broken clouds,1.61,16.05,Hôtel ABENI
395,Bakel,SN,89.55,clear sky,14.9,-12.46,Hôtel islam
396,Nantucket,US,39.2,clear sky,41.28,-70.1,Jared Coffin House
397,Los Llanos De Aridane,ES,66.2,broken clouds,28.66,-17.92,Valle Aridane
398,Nova Vicosa,BR,81.36,clear sky,-17.89,-39.37,Pousada Porto do Sol
399,Encruzilhada,BR,79.61,broken clouds,-15.53,-40.91,Hotel e Restaurante Rio Pardo
400,Tortoli,IT,48.2,few clouds,39.93,9.66,Hotel La Bitta
401,Padang,ID,75.2,overcast clouds,-0.95,100.35,Mercure Padang
402,Paita,PE,82.4,clear sky,-5.09,-81.11,Hotel Náutico de Paita
403,Sept-Iles,CA,15.01,clear sky,50.2,-66.38,Comfort Inn
404,Ahipara,NZ,61.41,scattered clouds,-35.17,173.17,Ahipara Holiday Park
406,Mogadishu,SO,79.66,clear sky,2.04,45.34,Hotel Juba
407,College,US,12.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
409,Eyl,SO,74.41,clear sky,7.98,49.82,Amiin Hotel
410,Emerald,AU,71.6,overcast clouds,-23.53,148.17,The Irish Village
411,Belmonte,BR,82.4,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
412,Gushikawa,JP,51.8,light rain,26.35,127.87,Kirari Guest House
413,Kulhudhuffushi,MV,82.4,broken clouds,6.62,73.07,Haajy Guest House 1
414,Imbituba,BR,89.6,scattered clouds,-28.24,-48.67,Praia Hotel Imbituba
415,Lagoa,PT,58.82,overcast clouds,39.05,-27.98,Casa Das Faias
416,Fort Smith,US,44.6,overcast clouds,35.39,-94.4,Hampton Inn by Hilton Fort Smith
418,Kwinana,AU,73.0,overcast clouds,-32.25,115.77,Rockingham Apartments
